endTime,artistName,trackName,msPlayed,month
2021-03-12T22:05:00Z,nobigdyl.,close,175280,March 2021
2021-03-12T22:07:00Z,harley,BACKSEAT,178108,March 2021
2021-03-12T22:11:00Z,Marcaux,Cedar Creek,223333,March 2021
2021-03-13T07:27:00Z,Jiwhan Kim,Suicidal Starlight,156061,March 2021
2021-03-13T23:03:00Z,Jake Scott,We Haven't Looked at Our Phones,89130,March 2021
2021-03-13T23:10:00Z,James Droll,Self Sacrifice,95470,March 2021
2021-03-14T22:50:00Z,James Droll,Self Sacrifice,210301,March 2021
2021-03-14T22:50:00Z,My.,Better,33178,March 2021
2021-03-14T22:54:00Z,prettyboyshav,4runner,248314,March 2021
2021-03-14T22:58:00Z,mike.,Fly You to the Moon,191190,March 2021
2021-03-14T22:58:00Z,My Brothers And I,Didn't See It Coming - Vinze Remix,26935,March 2021
2021-03-14T23:01:00Z,Jackson Bales,Figure It Out,202702,March 2021
2021-03-14T23:05:00Z,Bajillionaire,Sleepwalking,206769,March 2021
2021-03-14T23:05:00Z,DOUBLECAMP,Smoke and Mirrors,14178,March 2021
2021-03-15T02:43:00Z,Jiwhan Kim,Suicidal Starlight,9738,March 2021
2021-03-15T02:44:00Z,Garrett Zoukis,Symmetry,29695,March 2021
2021-03-15T02:48:00Z,Brennen Henson,Hold Me,252055,March 2021
2021-03-15T02:52:00Z,Phillip Larue,West Coast,274240,March 2021
2021-03-15T14:48:00Z,Dawson Hollow,Hills & Roads,103955,March 2021
2021-03-15T14:52:00Z,Jonny Glenn,Wasted,215783,March 2021
2021-03-15T14:55:00Z,Sj,Can't Be Happier,185660,March 2021
2021-03-15T15:02:00Z,Bennett,Stressing,213707,March 2021
2021-03-15T15:06:00Z,Cameo Club,Take Me,201081,March 2021
2021-03-15T15:11:00Z,Lou,This Forever,271293,March 2021
2021-03-15T15:15:00Z,Carter Reeves,Alone Time,206666,March 2021
2021-03-15T15:18:00Z,Aaron Kellim,Hold You,203778,March 2021
2021-03-15T15:19:00Z,Dave Mac,Better Again,44997,March 2021
2021-03-15T16:48:00Z,Dave Mac,Better Again,3790,March 2021
2021-03-15T16:50:00Z,Mills,Kanye in My Head,122000,March 2021
2021-03-15T16:54:00Z,MisterWives,SUPERBLOOM,213546,March 2021
2021-03-15T16:57:00Z,Forrest.,Backwards,173283,March 2021
2021-03-15T17:00:00Z,Livingston,Say The Word,154090,March 2021
2021-03-15T17:02:00Z,BRELAND,Hot Sauce,144000,March 2021
2021-03-15T17:05:00Z,Logan Smith,One Day,176056,March 2021
2021-03-15T17:10:00Z,Luke Mitrani,Golden Eyes,269666,March 2021
2021-03-15T17:11:00Z,Gordon Snyder,Outta PA,60863,March 2021
2021-03-17T06:08:00Z,Jonny Glenn,Wasted,194500,March 2021
2021-03-17T06:11:00Z,Sj,Can't Be Happier,185660,March 2021
2021-03-17T06:13:00Z,Bennett,Stressing,106369,March 2021
2021-03-17T06:16:00Z,Cameo Club,Take Me,201081,March 2021
2021-03-17T06:21:00Z,Lou,This Forever,271293,March 2021
2021-03-17T06:23:00Z,Carter Reeves,Alone Time,139211,March 2021
2021-03-17T19:02:00Z,Champagne Lane,Golden Hour,11712,March 2021
